ID,ROI,Category,new_ID
287,144_IP2_Parietal-Lobe,1,144
289,145_IP1_Parietal-Lobe,1,145
291,146_IP0_Parietal-Lobe,1,146
293,147_PFop_Parietal-Lobe,1,147
295,148_PF_Parietal-Lobe,1,148
297,149_PFm_Parietal-Lobe,1,149
299,150_PGi_Parietal-Lobe,1,150
301,151_PGs_Parietal-Lobe,1,151
303,152_V6A_Occipital-Lobe,1,152
305,153_VMV1_Occipital-Lobe,1,153
307,154_VMV3_Occipital-Lobe,1,154
309,155_PHA2_Temporal-Lobe,1,155
311,156_V4t_Occipital-Lobe,1,156
313,157_FST_Temporal-Lobe,1,157
315,158_V3CD_Occipital-Lobe,1,158
317,159_LO3_Occipital-Lobe,1,159
319,160_VMV2_Occipital-Lobe,1,160
321,161_31pd_Cingulate-Cortex,1,161
323,162_31a_Cingulate-Cortex,1,162
325,163_VVC_Temporal-Lobe,1,163
327,164_25_Cingulate-Cortex,1,164
329,165_s32_Cingulate-Cortex,1,165
331,166_pOFC_Frontal-Lobe,1,166
333,167_PoI1_Insular-Cortex,1,167
335,168_Ig_Insular-Cortex,1,168
337,169_FOP5_Frontal-Lobe,1,169
339,170_p10p_Frontal-Lobe,1,170
341,171_p47r_Frontal-Lobe,1,171
343,172_TGv_Temporal-Lobe,1,172
345,173_MBelt_Temporal-Lobe,1,173
347,174_LBelt_Temporal-Lobe,1,174
349,175_A4_Temporal-Lobe,1,175
351,176_STSva_Temporal-Lobe,1,176
353,177_TE1m_Temporal-Lobe,1,177
355,178_PI_Insular-Cortex,1,178
357,179_a32pr_Cingulate-Cortex,1,179
359,180_p24_Cingulate-Cortex,1,180
1,1_Cblm-I-IV_Cerebellum,1,181
2,2_Cblm-V_Cerebellum,1,182
3,3_Cblm-VI_Cerebellum,1,183
4,4_Cblm-Vermis-VI_Cerebellum,1,184
5,5_Cblm-CrusI_Cerebellum,1,185
6,6_Cblm-Vermis-CrusI_Cerebellum,1,186
7,7_Cblm-CrusII_Cerebellum,1,187
8,8_Cblm-Vermis-CrusII_Cerebellum,1,188
9,9_Cblm-VIIb_Cerebellum,1,189
11,11_Cblm-VIIIa_Cerebellum,1,190
12,12_Cblm-Vermis-VIIIa_Cerebellum,1,191
13,13_Cblm-VIIIb_Cerebellum,1,192
14,14_Cblm-Vermis-VIIIb_Cerebellum,1,193
15,15_Cblm-IX_Cerebellum,1,194
16,16_Cblm-Vermis-IX_Cerebellum,1,195
17,17_Cblm-X_Cerebellum,1,196
18,18_Cblm-Vermis-X_Cerebellum,1,197
19,19_Cblm-Dentate_Cerebellum,1,198
20,20_Cblm-Interposed_Cerebellum,1,199
28,156_MDpc_Thalamus-Morel,2,200
34,162_CL_Thalamus-Morel,2,201
38,166_VApc_Thalamus-Morel,2,202
40,168_VLpd_Thalamus-Morel,2,203
43,171_VLpv_Thalamus-Morel,2,204
45,173_VLa_Thalamus-Morel,2,205
47,175_PuM_Thalamus-Morel,2,206
50,178_LP_Thalamus-Morel,2,207
51,179_VPLp_Thalamus-Morel,2,208
54,182_PuL_Thalamus-Morel,2,209
101,5001_Pu-Putamen,4,210
102,5002_Ca-Caudate,4,211
103,5003_NAC-Nucleus,4,212
105,5005_GPe-Globus,4,213
106,5006_GPi-Globus,4,214
108,5008_RN-Red,4,215
109,5009_SNr-Substantia,4,216
114,5014_HTH-Hypothalamus,4,217
117,amygdala_CM_04,5,218
118,amygdala_LB_04,5,219
119,amygdala_SF_04,5,220
